lattitude,longitude,time
-51.6149,136.2054,2022-10-12 17:14:24.590862
-51.3723,142.32,2022-10-12 17:15:25.728102
-50.7951,148.2733,2022-10-12 17:16:26.855543
-49.8973,154.034,2022-10-12 17:17:27.987291
-48.7006,159.5394,2022-10-12 17:18:29.100779
-47.2305,164.7482,2022-10-12 17:19:30.241911
-45.515,169.6384,2022-10-12 17:20:31.384639
-43.5821,174.2062,2022-10-12 17:21:32.503027
-41.4591,178.4599,2022-10-12 17:22:33.627267
-39.1711,-177.5828,2022-10-12 17:23:34.749475
-36.7408,-173.8989,2022-10-12 17:24:35.872894
-34.1883,-170.4625,2022-10-12 17:25:36.996388
-31.5314,-167.2472,2022-10-12 17:26:38.107796
-28.7855,-164.2269,2022-10-12 17:27:39.222039
-25.9643,-161.3769,2022-10-12 17:28:40.349570
-23.0795,-158.6738,2022-10-12 17:29:41.462790
-20.1419,-156.0962,2022-10-12 17:30:42.593370
-17.1601,-153.6238,2022-10-12 17:31:43.711859
-14.1177,-151.2189,2022-10-12 17:32:44.853862
-11.0715,-148.9031,2022-10-12 17:33:45.980257
-8.0037,-146.6403,2022-10-12 17:34:47.095515
-4.9204,-144.4151,2022-10-12 17:35:48.222029
-1.8279,-142.2127,2022-10-12 17:36:49.365389
1.2683,-140.0185,2022-10-12 17:37:50.495671
4.3623,-137.8183,2022-10-12 17:38:51.606698
7.4485,-135.5975,2022-10-12 17:39:52.723635
10.5209,-133.3415,2022-10-12 17:40:53.850659
13.5733,-131.0349,2022-10-12 17:41:54.976021
16.5993,-128.6613,2022-10-12 17:42:56.088482
19.5909,-126.204,2022-10-12 17:43:57.210398
22.5406,-123.6444,2022-10-12 17:44:58.329963
25.4392,-120.9625,2022-10-12 17:45:59.445937
28.2765,-118.1372,2022-10-12 17:47:00.566595
31.0408,-115.1451,2022-10-12 17:48:01.700515
33.7188,-111.9616,2022-10-12 17:49:02.816715
36.2955,-108.5605,2022-10-12 17:50:03.931369
38.7727,-104.8845,2022-10-12 17:51:05.045391
41.0901,-100.9671,2022-10-12 17:52:06.164587
43.2461,-96.7552,2022-10-12 17:53:07.366100
45.2157,-92.2298,2022-10-12 17:54:08.487018
48.302,-30.7134,2022-10-12 18:05:11.206212
46.7547,-25.5853,2022-10-12 18:06:12.373861
44.9539,-20.7421,2022-10-12 18:07:13.540528
42.9574,-16.2626,2022-10-12 18:08:14.723795
40.778,-12.0937,2022-10-12 18:09:15.890923
38.4406,-8.2161,2022-10-12 18:10:17.060447
35.9672,-4.6056,2022-10-12 18:11:18.242899
33.3776,-1.2358,2022-10-12 18:12:19.411642
30.6888,1.92,2022-10-12 18:13:20.578332
27.8925,4.9116,2022-10-12 18:14:21.753763
25.0475,7.7146,2022-10-12 18:15:22.938339
